cycle,capacities,Voltage,Current,resistance,SOH
83,1.023080049,3.643344166,-1.09959225,0.090849862,0.930072772
84,1.022644748,3.642450954,-1.099577992,0.091661021,0.929677043
85,1.02209035,3.640516848,-1.099562149,0.0939245,0.929173046
86,1.021515457,3.639870723,-1.099558981,0.091661021,0.928650415
87,1.016603677,3.647329094,-1.099563691,0.092305116,0.924185161
88,1.021017053,3.64011213,-1.099600171,0.090120256,0.928197321
89,1.015750462,3.64595378,-1.099578076,0.093114808,0.923409511
90,1.015133512,3.644817717,-1.099568486,0.092221804,0.922848647
91,1.014788483,3.644314867,-1.099568486,0.092305116,0.922534984
92,1.00553917,3.63517059,-1.099492698,0.094009422,0.914126518
93,1.004114978,3.628805007,-1.099441097,0.09255594,0.912831798
94,0.998737579,3.636163894,-1.099451339,0.094734199,0.907943253
95,0.997843762,3.634254806,-1.099480626,0.09626662,0.907130692
96,1.016196169,,,0.092305116,0.9238147
97,1.015518543,3.644350681,-1.099504556,0.092305116,0.923198676
98,1.014263594,3.643428077,-1.099509351,0.093839727,0.922057813
99,1.022954003,3.638986961,-1.099530128,0.090685725,0.929958184
100,1.023095879,3.651107583,-1.099638192,0.090603873,0.930087163
101,1.013637451,3.652564557,-1.099642945,0.093114808,0.921488592
102,1.042110101,3.69055326,-1.09956668,0.090767719,0.947372819
103,1.041562374,3.647791649,-1.09955136,0.091412842,0.946874886
104,1.04968097,3.647130146,-1.099556031,0.088176988,0.954255427
105,1.050218967,3.658394408,-1.099659559,0.08744695,0.954744516
106,1.034513942,3.660480933,-1.099705867,0.089227542,0.94046722
107,1.034205858,3.644827086,-1.099538648,0.091578141,0.940187143
108,1.034671846,3.643655874,-1.099538648,0.090767719,0.940610769
109,1.033362148,3.647149793,-1.099540218,0.090849862,0.939420135
110,1.032349956,3.643413751,-1.099573198,0.092305116,0.93849996
111,1.041169381,3.639710084,-1.099522943,0.090522178,0.946517619
112,1.041413811,3.654551769,-1.099655673,0.089066342,0.946739828
113,1.031678125,3.65694098,-1.09967747,0.092221804,0.937889205
114,1.025124551,3.641448595,-1.099566916,0.089227542,0.93193141
115,1.0237632,3.642825848,-1.099519375,0.09238857,0.930693819
116,1.023033828,3.639250163,-1.099527296,0.091578141,0.930030753
117,1.016824986,3.638240507,-1.099558981,0.092305116,0.924386351
118,1.03089167,3.639678921,-1.099645202,0.091495417,0.937174245
119,1.031329277,3.648282994,-1.099747518,0.090603873,0.93757207
120,1.021634639,3.652227373,-1.099775786,0.089876033,0.928758763
121,1.013692987,3.639463172,-1.099712652,0.093755119,0.921539079
122,1.01405069,3.633372535,-1.099632416,0.092305116,0.921864264
123,1.007424739,3.608770202,-1.099563013,0.092305116,0.915840672
124,1.014495475,3.640544617,-1.099533011,0.094648689,0.922268613
125,1.021236116,3.642754749,-1.099581272,0.090522178,0.928396469
126,1.021451952,3.647649767,-1.099635024,0.090603873,0.928592684
127,1.021308149,3.649402106,-1.099682551,0.089146867,0.928461954
128,1.021086871,3.650051067,-1.099666708,0.089794911,0.928260792
129,1.020821496,3.650281116,-1.09970473,0.090440623,0.928019542
130,1.020985153,3.650533881,-1.099725325,0.089146867,0.928168321
131,1.020792862,3.651672767,-1.09974592,0.089794911,0.927993511
132,1.020496332,3.651988017,-1.099718988,0.088416383,0.927723938
133,1.019993246,3.651983759,-1.099739583,0.089146867,0.927266588
134,1.015980809,3.651246751,-1.099753841,0.089876033,0.923618918
135,1.015687961,3.659337295,-1.09975708,0.08898595,0.923352692
136,1.015556833,3.658970544,-1.099729909,0.08898595,0.923233485
137,1.015508283,3.659037873,-1.099734704,0.087526016,0.923189348
138,1.015482734,3.659249905,-1.099760276,0.089794911,0.923166122
139,1.015929979,3.659648165,-1.099763473,0.088336438,0.923572708
140,1.019976881,3.661238375,-1.099795437,0.089066342,0.92725171
141,0.997404301,3.623977937,-1.099802207,0.091578141,0.906731183
142,0.998209455,3.641516331,-1.099597773,0.092305116,0.907463141
143,0.996540209,3.643946081,-1.099628687,0.090849862,0.905945645
144,0.996021494,3.639763302,-1.099615671,0.093114808,0.905474085
145,0.994604208,3.638633017,-1.099601027,0.093198992,0.904185643
146,1.004795305,3.630955842,-1.099540826,0.090767719,0.913450277
147,1.005341906,3.65014935,-1.099691038,0.089146867,0.913947187
148,0.989225445,3.652954891,-1.099731351,0.090038702,0.899295859
149,0.987830348,3.639709512,-1.099547142,0.093114808,0.898027589
150,0.995296661,3.63553728,-1.099511022,0.093198992,0.904815146
151,1.004763953,3.610688306,-1.099643281,0.091412842,0.913421775
152,1.004959506,3.649024827,-1.099732963,0.089876033,0.913599551
153,0.98880227,3.651403968,-1.09971845,0.09238857,0.898911154
154,0.994025599,3.636205424,-1.09955371,0.091744043,0.903659635
155,0.994377146,3.631566922,-1.099597773,0.093114808,0.903979224
156,0.993822862,3.633038482,-1.099602654,0.093114808,0.903475329
157,0.994604013,3.632339896,-1.099581503,0.09238857,0.904185466
158,1.0029174,3.633948539,-1.099601027,0.090685725,0.911743091
159,1.003949833,3.64467848,-1.099723288,0.090767719,0.912681666
160,0.989122408,3.64960877,-1.099732963,0.091578141,0.899202189
161,0.988369608,3.640611659,-1.099611174,0.09328334,0.898517825
162,0.987290123,3.606553869,-1.099618757,0.093114808,0.897536476
163,0.988344279,3.635231161,-1.099583263,0.093839727,0.898494799
164,0.996608939,3.638552759,-1.099588188,0.092305116,0.906008126
165,1.002802835,3.647018989,-1.099711666,0.089957289,0.911638941
166,1.003350892,3.647696499,-1.099642662,0.090603873,0.912137175
167,0.987069291,3.649556739,-1.099650725,0.09238857,0.897335719
168,0.988744929,3.63581984,-1.099524157,0.092305116,0.898859026
169,0.995114008,3.641401954,-1.099530724,0.093839727,0.904649098
170,1.003506223,3.616684794,-1.09974367,0.089146867,0.912278385
171,1.003696885,3.651502254,-1.099778114,0.091330417,0.912451714
172,1.003872604,3.652475014,-1.099758763,0.090685725,0.912611458
173,1.004058067,3.652898522,-1.099760376,0.089794911,0.912780061
174,1.004254427,3.653546065,-1.099808751,0.089957289,0.91295857
175,1.004406299,3.65434104,-1.099811978,0.090603873,0.913096636
176,1.005054048,3.655029054,-1.09980069,0.089066342,0.913685498
177,1.005266705,3.65736773,-1.099805526,0.08898595,0.913878823
178,1.005370895,3.657609109,-1.099839389,0.089794911,0.913973541
179,1.00539994,3.658044174,-1.099824877,0.089066342,0.913999945
180,1.005700273,3.658302903,-1.099797464,0.088336438,0.914272976
181,1.005801999,3.658920092,-1.099807139,0.088336438,0.914365453
182,1.005855574,3.659238083,-1.099831327,0.08898595,0.914414158
183,1.005880827,3.659425987,-1.099820039,0.089876033,0.914437116
184,1.00601995,3.659694836,-1.099797464,0.08898595,0.914563591
185,1.005986302,3.659868281,-1.099924853,0.089876033,0.914533002
186,1.005987602,3.659858167,-1.099931304,0.088256642,0.914534184
187,1.005969613,3.659926095,-1.099910341,0.08898595,0.91451783
188,0.996330957,3.660028719,-1.099918403,0.090685725,0.905755416
189,0.994821745,3.64727568,-1.099807662,0.092305116,0.904383404
190,0.994521028,3.640327716,-1.099775121,0.093114808,0.904110025
191,0.988384346,3.638977203,-1.099739326,0.093114808,0.898531223
192,0.987131133,3.640850067,-1.099622667,0.092305116,0.897391939
193,0.996188667,3.635715348,-1.099625951,0.09294688,0.905626061
194,1.001626754,3.648176984,-1.099701904,0.089876033,0.910569777
195,0.997317645,3.646463567,-1.099750701,0.091495417,0.906652404
196,0.986896635,3.655288288,-1.099739326,0.0939245,0.89717876
197,1.02672174,3.635575539,-1.099609532,0.093198992,0.9333834
198,1.032906029,3.63927998,-1.099508286,0.091495417,0.939005481
199,1.034320311,3.642791543,-1.099588902,0.090685725,0.940291192
200,1.034823915,3.65079433,-1.099599895,0.091330417,0.940749014
201,1.034883664,3.653052289,-1.099673707,0.089146867,0.940803331
202,1.034729272,3.653974332,-1.099661143,0.092138648,0.940662975
203,1.034700333,3.654068652,-1.099697263,0.089146867,0.940636666
204,1.034815043,3.654911862,-1.099703545,0.089876033,0.940740948
205,1.034575276,3.656190057,-1.099733384,0.090603873,0.940522978
206,1.034186764,3.656475816,-1.099701975,0.089876033,0.940169786
207,1.033809756,3.655777602,-1.099706686,0.087526016,0.939827051
208,1.033089976,3.655487612,-1.0997538,0.089066342,0.939172705
209,1.032852285,3.653739251,-1.099727102,0.090603873,0.938956623
210,1.032568951,3.654157336,-1.099711398,0.087526016,0.938699047
211,1.032250894,3.653992634,-1.099736525,0.091248132,0.938409904
212,1.032131119,3.653834967,-1.09975537,0.089876033,0.938301017
213,1.031588573,3.619264489,-1.099738568,0.088336438,0.937807793
214,1.022828694,3.654126362,-1.099782068,0.090685725,0.929844268
215,1.0139823,3.64125669,-1.099623934,0.093198992,0.921802091
216,1.014445993,3.629120527,-1.099547709,0.093114808,0.92222363
217,1.013516961,3.635445536,-1.099570084,0.095285662,0.921379056
218,1.007194748,3.629369805,-1.09956529,0.093198992,0.915631589
219,1.015550963,3.632211836,-1.099539461,0.092221804,0.923228148
220,1.021081419,3.645518265,-1.099653193,0.091495417,0.928255835
221,1.015078869,3.643953374,-1.099696809,0.091578141,0.922798972
222,1.005128281,3.647645701,-1.099662783,0.0939245,0.913752983
223,1.004521569,3.591380698,-1.099561115,0.095543891,0.913201427
224,0.999107683,3.627492577,-1.099523336,0.094009422,0.908279711
225,0.997610954,3.634066668,-1.099532691,0.094009422,0.906919049
226,1.007006829,3.62677598,-1.099524556,0.093114808,0.915460754
227,1.00764634,3.644927089,-1.099662012,0.091578141,0.916042127
228,0.998219178,3.648255868,-1.099668462,0.093198992,0.90747198
229,0.995885437,3.634205221,-1.099514794,0.094734199,0.905350397
230,0.995310927,3.623678274,-1.099531064,0.095543891,0.904828116
231,0.989817508,3.620867877,-1.099521302,0.09626662,0.899834098
232,0.988537619,3.628676258,-1.099496245,0.09490566,0.898670562
233,0.997985701,3.623228069,-1.099481469,0.094819844,0.907259728
234,1.003679111,3.640499809,-1.099615671,0.0939245,0.912435556
235,0.996413427,3.637792553,-1.09964105,0.091495417,0.905830388
236,0.986898172,3.635708863,-1.099597773,0.095371582,0.897180156
237,0.987088478,3.618281724,-1.099540575,0.096179813,0.897353162
238,0.986731329,3.622461323,-1.099514306,0.094734199,0.897028481
239,0.986320118,3.621316348,-1.09950938,0.094734199,0.896654653
240,0.989053922,3.619441418,-1.099499529,0.096353583,0.899139929
241,0.995421823,3.635013351,-1.099601323,0.09238857,0.90492893
242,0.99569694,3.636677265,-1.099614043,0.093198992,0.905179036
243,0.979523569,3.638808027,-1.099636822,0.095543891,0.890475972
244,0.978796027,3.622628514,-1.099518779,0.095543891,0.88981457
245,0.988936765,3.619683379,-1.099555231,0.096353583,0.899033423
246,0.996628739,3.626352471,-1.099517589,0.093198992,0.906026126
247,0.996920455,3.637003954,-1.099617298,0.09328334,0.906291323
248,0.996858361,3.639881433,-1.0995994,0.094009422,0.906234873
249,0.996821732,3.64095484,-1.099615671,0.0939245,0.906201575
250,0.996884636,3.641618424,-1.099656347,0.093755119,0.90625876
251,0.996836194,3.643050604,-1.099657974,0.092305116,0.906214722
252,0.996811157,3.643690852,-1.099651466,0.093030766,0.906191961
253,0.996588764,3.644511945,-1.099674244,0.091661021,0.905989785
254,0.996391104,3.644145878,-1.099693769,0.091578141,0.905810094
255,0.996212768,3.644014625,-1.099701904,0.092305116,0.905647971
256,0.996031237,3.643864404,-1.099705158,0.093114808,0.905482943
257,0.995919111,3.643647099,-1.099719801,0.091495417,0.90538101
258,0.995840953,3.643607722,-1.099724683,0.091578141,0.905309957
259,0.99585357,3.643960663,-1.099711666,0.092221804,0.905321428
260,0.995717475,3.644382148,-1.09972631,0.092305116,0.905197705
261,0.995650216,3.644533825,-1.099721429,0.093114808,0.90513656
262,0.995422901,3.644732175,-1.099732818,0.090685725,0.90492991
263,0.978968293,3.644392362,-1.099649838,0.094734199,0.889971176
264,0.977751225,3.626703879,-1.099465758,0.094819844,0.88886475
265,0.977572073,3.620409637,-1.099435934,0.095457658,0.888701884
266,0.986315738,3.620304565,-1.099516647,0.094009422,0.89665067
267,0.987101794,3.634819087,-1.099612816,0.091661021,0.897365267
268,0.978350763,3.638928049,-1.099666996,0.0939245,0.889409784
269,0.970441705,3.619063439,-1.099509958,0.0940945,0.882219732
270,0.970365392,3.621343332,-1.09952668,0.095716819,0.882150356
271,0.969981068,3.620845682,-1.099525008,0.096527979,0.881800971
272,0.978424532,3.620097712,-1.099521663,0.095543891,0.889476847
273,0.979639316,3.631192118,-1.099599967,0.095457658,0.890581196
274,0.985294717,3.636032356,-1.099611566,0.093198992,0.89572247
275,0.968932705,3.633126649,-1.099681773,0.097884543,0.880847913
276,0.968343483,3.614882884,-1.099509958,0.097251125,0.880312258
277,0.968214288,3.611081574,-1.099523336,0.097972974,0.880194808
278,0.968504463,3.611534251,-1.099498252,0.097251125,0.880458603
279,0.968478617,3.614728495,-1.099518319,0.097163275,0.880435106
280,0.977820133,3.614623569,-1.099483202,0.094009422,0.888927394
281,0.978414496,3.63225997,-1.099624821,0.092472181,0.889467724
282,0.969279879,3.635447196,-1.09964139,0.095630273,0.881163526
283,0.962305415,3.621305859,-1.099513302,0.097163275,0.874823105
284,0.962519033,3.618356264,-1.09944696,0.096440703,0.875017302
285,0.961963037,3.61987829,-1.099536417,0.095630273,0.874511852
286,0.961012834,3.618360798,-1.099490844,0.096527979,0.87364803
287,0.970035237,3.613817404,-1.099497596,0.095630273,0.881850216
288,0.976620126,3.628325403,-1.099585209,0.094009422,0.887836478
289,0.97116094,3.628561849,-1.099626478,0.094009422,0.882873581
290,0.960203022,3.636286279,-1.09963872,0.097163275,0.872911838
291,0.960370891,3.610398139,-1.099497596,0.097251125,0.873064447
292,0.9625218,3.612307479,-1.09951785,0.097796284,0.875019818
293,0.961954966,3.617932636,-1.099475653,0.097972974,0.874504514
294,0.971186511,3.616513491,-1.099487468,0.095630273,0.882896828
295,0.976562259,3.63205477,-1.09959357,0.094009422,0.887783872
296,0.976611399,3.627387062,-1.099618193,0.095543891,0.887828544
297,0.976663422,3.628367288,-1.099594997,0.09328334,0.887875838
298,0.976685726,3.628800965,-1.099638076,0.093198992,0.887896115
299,0.977403679,3.629699506,-1.099626478,0.092305116,0.888548799
300,0.977598337,3.63491549,-1.099656302,0.0939245,0.888725761
301,0.977758575,3.63617493,-1.099677842,0.091495417,0.888871432
302,0.977844824,3.6371611,-1.099697724,0.094648689,0.88894984
303,0.977905972,3.637912606,-1.099691097,0.093030766,0.889005429
304,0.977996177,3.638390839,-1.099672871,0.09456335,0.889087434
305,0.978002101,3.638876497,-1.099712636,0.09238857,0.889092819
306,0.978086254,3.639278987,-1.099704352,0.092221804,0.889169321
307,0.978253092,3.63994584,-1.099697724,0.092305116,0.889320993
308,0.978530033,3.640535455,-1.099815364,0.093114808,0.889572757
309,0.978345954,3.641915199,-1.099861759,0.091578141,0.889405413
310,0.978335443,3.641283989,-1.099821993,0.09238857,0.889395857
311,0.968181861,3.641429538,-1.099810394,0.095457658,0.880165328
312,0.960875437,3.620303061,-1.099665476,0.096353583,0.873523124
313,0.96095834,3.61736225,-1.099634313,0.095716819,0.873598491
314,0.960850061,3.618654313,-1.09959718,0.095716819,0.873500055
315,0.960041545,3.618633132,-1.099637689,0.096440703,0.872765041
316,0.968387629,3.614021658,-1.099636001,0.094819844,0.88035239
317,0.970099277,3.625976563,-1.099722332,0.094009422,0.881908434
318,0.960681403,3.598697502,-1.099750989,0.096353583,0.87334673
319,0.959780085,3.619557546,-1.099603931,0.097163275,0.87252735
320,0.960119022,3.614375683,-1.099614059,0.096440703,0.872835475
321,0.959215271,3.617442434,-1.099522914,0.095630273,0.872013883
322,0.953110967,3.610643238,-1.099519538,0.097251125,0.866464516
323,0.968342289,3.613411438,-1.09950715,0.095457658,0.880311172
324,0.969640801,3.628808063,-1.099633704,0.095543891,0.881491637
325,0.962179864,3.635329964,-1.099662132,0.0939245,0.874708967
326,0.953404172,3.629052824,-1.09962925,0.09626662,0.866731066
327,0.959040336,3.616702606,-1.099539522,0.09626662,0.871854851
328,0.959370437,3.61146477,-1.099531353,0.097075582,0.872154942
329,0.959004486,3.615210829,-1.09954992,0.097884543,0.87182226
330,0.961072132,3.612664537,-1.099519538,0.095630273,0.873701938
331,0.968796069,3.624819586,-1.099499284,0.093198992,0.880723699
332,0.969519399,3.634007893,-1.099555108,0.096093163,0.881381272
333,0.959684994,3.637311558,-1.099598587,0.094648689,0.872440904
334,0.958761633,3.618899412,-1.099441896,0.097163275,0.871601484
335,0.95886018,3.612408845,-1.099419954,0.096353583,0.871691072
336,0.953386024,3.613431603,-1.099440208,0.097075582,0.866714567
337,0.952863292,3.620184673,-1.099510557,0.096353583,0.866239356
338,0.96035353,3.616604866,-1.099531003,0.095630273,0.873048663
339,0.95213652,3.626859048,-1.099634313,0.096440703,0.865578654
340,0.951568201,3.613806988,-1.099524188,0.097884543,0.865062001
341,0.959637435,3.611496296,-1.099464555,0.096527979,0.872397668
342,0.959228937,3.61174769,-1.099485781,0.096440703,0.872026306
343,0.953321749,3.610012335,-1.099509411,0.097163275,0.866656135
344,0.962193091,3.614153669,-1.099490112,0.095630273,0.874720992
345,0.967648058,3.62904374,-1.099614059,0.094819844,0.879680053
346,0.967903911,3.624775906,-1.099611964,0.094819844,0.879912646
347,0.968051353,3.627051298,-1.099652098,0.096353583,0.880046685
348,0.968137459,3.628418335,-1.099652098,0.094819844,0.880124963
349,0.968288035,3.6291798,-1.099663804,0.094009422,0.88026185
350,0.969355727,3.670118485,-1.099675775,0.093114808,0.881232479
351,0.971342812,3.628407845,-1.09962367,0.0939245,0.88303892
352,0.977409413,3.637016268,-1.099660459,0.09238857,0.888554012
353,0.977785319,3.635613533,-1.099676185,0.093114808,0.888895745
354,0.968992895,3.636651678,-1.099682812,0.09328334,0.880902632
355,0.9689239,3.622083807,-1.099595242,0.093367837,0.880839909
356,0.970171947,3.621493223,-1.099600259,0.094734199,0.881974497
357,0.971298716,3.629203785,-1.099598588,0.0939245,0.882998832
358,0.971200073,3.634866783,-1.099658787,0.093198992,0.882909157
359,0.977818072,3.634357143,-1.099657115,0.09238857,0.88892552
360,0.978210408,3.637324473,-1.099722578,0.0939245,0.889282189
361,0.971482177,3.639595329,-1.099706009,0.0939245,0.883165616
362,0.969555998,3.636969796,-1.099688888,0.094009422,0.881414543
363,0.969421372,3.627462012,-1.099650426,0.095457658,0.881292157
364,0.970751239,3.626842949,-1.099621998,0.095457658,0.882501127
365,0.970729155,3.634456069,-1.099663804,0.094009422,0.88248105
366,0.976093576,3.634229733,-1.099692232,0.094734199,0.887357796
367,0.977114195,3.628368778,-1.099707666,0.093198992,0.888285632
368,0.977256421,3.635874923,-1.099724235,0.093198992,0.888414928
369,0.968784477,3.637028919,-1.09973749,0.094734199,0.880713161
370,0.968666313,3.624694963,-1.099642065,0.096900672,0.880605739
371,0.968456726,3.625045717,-1.099648754,0.09626662,0.880415205
372,0.968143925,3.624449136,-1.099610292,0.095630273,0.880130841
373,0.962379706,3.622323634,-1.099628687,0.096353583,0.874890642
374,0.970012323,3.62605113,-1.099639377,0.095630273,0.881829384
375,0.970812542,3.63519056,-1.099693904,0.094734199,0.882556857
376,0.968812742,3.638777523,-1.099703938,0.093114808,0.880738856
377,0.961987919,3.630034193,-1.099697249,0.09490566,0.874534472
378,0.962446474,3.625592706,-1.099617434,0.09490566,0.87495134
379,0.967794013,3.628874293,-1.099615747,0.094819844,0.879812739
380,0.968273387,3.622798798,-1.099633704,0.094819844,0.880248534
381,0.968521446,3.62798514,-1.099652098,0.09626662,0.880474042
382,0.970255378,3.629148318,-1.099660459,0.094819844,0.882050343
383,0.970625839,3.639455047,-1.099710627,0.0939245,0.882387127
384,0.970774775,3.640994463,-1.099752433,0.0939245,0.882522523
385,0.970860755,3.641896822,-1.099769155,0.095543891,0.882600687
386,0.970855303,3.642316527,-1.099767483,0.093030766,0.88259573
387,0.975960525,3.64243944,-1.099784205,0.094648689,0.887236841
388,0.9761835,3.636513555,-1.09981205,0.09456335,0.887439545
389,0.97627421,3.637556161,-1.099800452,0.093198992,0.887522009
390,0.976273134,3.638083401,-1.099787197,0.093198992,0.887521031
391,0.976280534,3.638362613,-1.099805423,0.093030766,0.887527759
392,0.976072554,3.63860173,-1.099817021,0.092305116,0.887338686
393,0.976120538,3.638261629,-1.099810394,0.09238857,0.887382308
394,0.976021721,3.638422025,-1.099803766,0.091661021,0.887292473
395,0.976031684,3.63834331,-1.099821992,0.093114808,0.887301531
396,0.976049403,3.638675994,-1.099800452,0.093114808,0.887317639
397,0.97599306,3.638817087,-1.099815364,0.09456335,0.887266418
398,0.975807668,3.639010163,-1.099795481,0.093114808,0.88709788
399,0.967837725,3.638549754,-1.099810394,0.0940945,0.879852478
400,0.981061677,3.628544247,-1.099687215,0.093030766,0.891874252
401,0.980040527,3.645530147,-1.099696067,0.091412842,0.890945933
402,0.980707378,3.64212758,-1.099717607,0.0939245,0.891552162
403,0.988402013,3.642380058,-1.099691097,0.088496469,0.898547284
404,0.989169467,3.650452837,-1.099816405,0.090685725,0.89924497
405,0.980805024,3.652635353,-1.099816404,0.091578141,0.891640931
406,0.980057201,3.641811229,-1.09971098,0.093839727,0.890961092
407,0.980366648,3.6386448,-1.099709323,0.093755119,0.891242408
408,0.980080588,3.640670599,-1.099725892,0.093114808,0.890982353
409,0.978981777,3.639920578,-1.099712636,0.093114808,0.889983434
410,0.98666777,3.634878366,-1.099669557,0.093030766,0.8969707
411,0.987137816,3.642714702,-1.099809836,0.092305116,0.897398015
412,0.986045873,3.645671322,-1.099803269,0.092305116,0.896405339
413,0.977659218,3.640153959,-1.099780283,0.093839727,0.888781107
414,0.977888086,3.628771261,-1.099684469,0.094009422,0.888989169
415,0.977855224,3.632251064,-1.099696067,0.095457658,0.888959294
416,0.969457461,3.633088711,-1.09971595,0.094009422,0.881324965
417,0.969624362,3.622446546,-1.099596914,0.096440703,0.881476693
418,0.977920562,3.623160049,-1.099606948,0.093114808,0.889018693
419,0.978439556,3.63789033,-1.099755716,0.091578141,0.889490505
420,0.968751021,3.641188936,-1.099788854,0.097075582,0.880682746
421,0.961066163,3.621821492,-1.099685543,0.098061554,0.873696511
422,0.960596224,3.616207871,-1.099639377,0.097163275,0.873269294
423,0.968304076,3.615813764,-1.09953441,0.094819844,0.880276433
